tabela;arquivo;linha;ponto_execucao;barreira_detectada;pistas;cardinalidade;classificacao;justificativa
project_with_labels;src/app/api/apuracao-fator-minimo/route.ts;231;await;NENHUMA;-;228 - 1:1 com project (2026-08-21);P3;1:1 com project (228) - confirmado por ratio 1.0000
teams;src/app/api/apuracao-fator-minimo/route.ts;238;indefinido;NENHUMA;-;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
project_service_types;src/app/api/apuracao-fator-minimo/route.ts;245;indefinido;NENHUMA;-;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
service_activities;src/app/api/apuracao-fator-minimo/route.ts;252;indefinido;NENHUMA;-;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
people;src/app/api/apuracao-fator-minimo/route.ts;276;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
project_with_labels;src/app/api/apuracao-fator-minimo/route.ts;322;await;NENHUMA;-;228 - 1:1 com project (2026-08-21);P3;1:1 com project (228) - confirmado por ratio 1.0000
teams;src/app/api/apuracao-fator-minimo/route.ts;431;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
team_type_history;src/app/api/apuracao-fator-minimo/route.ts;437;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
team_types;src/app/api/apuracao-fator-minimo/route.ts;462;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
measurement_score_targets;src/app/api/apuracao-fator-minimo/route.ts;515;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
measurement_cycle_workdays;src/app/api/apuracao-fator-minimo/route.ts;542;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
